,Ranking,Crypto Name,Price,Changes 24H ,Changes 7D ,Changes 30D ,Changes 1Y,Market Cap,Volume 24H,Available Supply,Market Cap_,Market Cap_M,Market Cap_pct,%
0,1,BITCOIN,"$36,983",-2.97%,1.96%,-20.08%,8.25%,701.49 B,$13.01 B,18.94 M BTC,701490000.0,B,0.49,0.49
3,4,ETHEREUM,"$2,510",-3.64%,-1.28%,-32.04%,82.54%,298.87 B,$10.00 B,119.38 M ETH,298870000.0,B,0.21,0.21
71,72,TETHER,$1.00 ,-0.33%,0.18%,0.32%,0.53%,78.26 B,$32.57 B,78.12 B USDT,78260000.0,B,0.05,0.05
6,7,BINANCE COIN ,$369.80 ,-3.80%,-3.37%,-27.62%,730.32%,62.31 B,$1.05 B,168.14 M BNB,62310000.0,B,0.04,0.04
70,71,USD COIN,$1.00 ,0.01%,-0.24%,0.22%,0.62%,49.96 B,$2.10 B,49.79 B USDC,49960000.0,B,0.03,0.03
63,64,CARDANO,$1.02 ,-4.86%,-9.44%,-22.54%,181.65%,32.59 B,$693.93 M,32.07 B ADA,32590000.000000004,B,0.02,0.02
13,14,SOLANA ,$90.03 ,-6.35%,-9.63%,-47.06%,2028.16%,28.43 B,$975.64 ,315.10 M SOL,28430000.0,B,0.02,0.02
77,78,XRP,$0.59 ,-5.63%,-7.03%,-29.61%,35.82%,27.95 B,$2.27 B,47.74 B XRP,27950000.0,B,0.02,0.02
32,33,POLKADOT,$17.36 ,-8.44%,-7.85%,-35.20%,5.41%,18.71 B,$695.44 M,1.08 B DOT,18710000.0,B,0.01,0.01
88,89,DOGECOIN,$0.14 ,-4.41%,-2.94%,-19.37%,382.19%,18.25 B,$429.44 M,132.67 B DOGE,18250000.0,B,0.01,0.01
21,22,TERRA,$44.13 ,-37.40%,-48.80%,2959.17%,$17.59 B,17.59 B,$1.59 B,400.68 M LUNA,17590000.0,B,0.01,0.01
18,19,AVALANCHE,$64.98 ,-9.00%,0.38%,-40.72%,443.28%,15.94 B,$542.89 M,244.91 M AVAX,15940000.0,B,0.01,0.01
69,70,BINANCE USD,$1.00 ,-0.01%,-0.14%,0.22%,0.66%,15.02 B,$2.49 B,14.98 B BUSD,15020000.0,B,0.01,0.01
68,69,TERRAUSD,$1.00 ,-0.02%,0.13%,0.23%,2.62%,11.29 B,$210.84 M,11.27 B UST,11290000.0,B,0.01,0.01
99,100,SHIBA INU,$0.00 ,-6.68%,-8.16%,-38.56%,9999.99%,11.27 B,$443.94 M,549.15 T SHIB,11270000.0,B,0.01,0.01
59,60,POLYGON,$1.54 ,-7.84%,-4.19%,-38.94%,3787.96%,10.61 B,$808.97 M,6.87 B MATIC,10610000.0,B,0.01,0.01
78,79,CRYPTO.COM COIN,$0.40 ,-6.89%,7.27%,-27.51%,521.59%,10.24 B,$115.68 M,25.26 B CRO,10240000.0,B,0.01,0.01
1,2,WRAPPED BITCOIN,"$37,019",-2.84%,1.84%,-20.13%,8.26%,10.04 B,$253.14 M,271.16 K WBTC,10040000.0,B,0.01,0.01
67,68,DAI,$1.00 ,0.22%,-0.03%,0.34%,0.69%,9.16 B,$175.84 M,9.14 B DAI,9160000.0,B,0.01,0.01
34,35,CHAINLINK,$16.72 ,-4.02%,1.14%,-14.58%,-28.65%,7.83 B,$1.10 B,467.01 M LINK,7830000.0,B,0.01,0.01
